generation,mean_fitness,best_fitness,worst_fitness,fitness_variance,mean_pairwise_similarity,elitism_count,elitism_fraction,cache_hit_count,cache_hit_rate,seed_count,crossover_count,mutation_count,active_strategies_count,strategy_distribution
0,0.655,0.6866666666666666,0.6133333333333334,0.0,0.260622501373291,0,0.0,0,0.0,20,0,0,0,
1,0.6863333333333335,0.7166666666666668,0.64,0.00039988888888888946,0.41043776273727417,2,0.1,2,0.1,2,14,4,3,4545c59a-f298-4eee-805a-62b3bfaa5155:3; crossover:14; d9d13a4e-83ee-441b-a580-6e8255915222:1
2,0.6783333333333333,0.7166666666666668,0.5933333333333334,0.0008650000000000001,0.525274932384491,2,0.1,2,0.1,0,11,9,6,347a9d08-ee14-4a00-9f70-5b77699920ff:2; 62a5c78f-2698-414d-9ef2-ae7be38aff1b:2; 64f04461-45b1-445b-8e12-c70ffb540c30:3; b1f94e39-4093-472d-a800-5fddf8d56987:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:11
3,0.6848333333333333,0.7266666666666667,0.6166666666666667,0.0009194166666666668,0.5182686448097229,2,0.1,2,0.1,0,12,8,7,347a9d08-ee14-4a00-9f70-5b77699920ff:2; 62a5c78f-2698-414d-9ef2-ae7be38aff1b:1; b1f94e39-4093-472d-a800-5fddf8d56987:1; bdf23b46-c514-47e9-b0eb-44f508075745:2; crossover:12; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1
4,0.6784999999999999,0.7266666666666667,0.6266666666666666,0.0009738611111111097,0.5277657508850098,2,0.1,2,0.1,0,14,6,6,4545c59a-f298-4eee-805a-62b3bfaa5155:1; 62a5c78f-2698-414d-9ef2-ae7be38aff1b:1; b1f94e39-4093-472d-a800-5fddf8d56987:2; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:14; d9d13a4e-83ee-441b-a580-6e8255915222:1
5,0.6815,0.73,0.6466666666666666,0.0006883055555555541,0.5765889883041382,2,0.1,2,0.1,0,15,5,4,b1f94e39-4093-472d-a800-5fddf8d56987:1; bdf23b46-c514-47e9-b0eb-44f508075745:2; crossover:15; d9d13a4e-83ee-441b-a580-6e8255915222:2
6,0.6763333333333333,0.73,0.6033333333333334,0.0007321111111111107,0.578818142414093,2,0.1,2,0.1,0,14,6,6,af724511-4b0b-4e0f-8948-416219216d33:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:14; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:2; f6099e1e-be1f-4465-b726-369acad0fca7:1
7,0.6705,0.73,0.6,0.001078083333333334,0.6137298345565796,2,0.1,2,0.1,0,12,8,8,1673a471-7693-45a5-a7b7-5301ddc63816:2; 20483e65-7baf-4f33-a634-23a23cac85df:1; 389155db-dfaf-4ae1-a267-56bc2920d61d:1; af724511-4b0b-4e0f-8948-416219216d33:1; crossover:12; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1; f6099e1e-be1f-4465-b726-369acad0fca7:1
8,0.6728333333333334,0.73,0.5766666666666667,0.0010636388888888883,0.6080628037452698,2,0.1,2,0.1,0,14,6,5,20483e65-7baf-4f33-a634-23a23cac85df:1; crossover:14; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1; f6099e1e-be1f-4465-b726-369acad0fca7:3
9,0.6751666666666667,0.73,0.62,0.0009916388888888887,0.6248042583465576,2,0.1,2,0.1,0,13,7,7,1673a471-7693-45a5-a7b7-5301ddc63816:1; 84dae2a7-f82a-496d-8b23-676ef7b13fde:1; bdf23b46-c514-47e9-b0eb-44f508075745:2; crossover:13; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1; f6099e1e-be1f-4465-b726-369acad0fca7:1
10,0.6813333333333331,0.73,0.6266666666666666,0.0005815555555555554,0.5555043816566467,2,0.1,2,0.1,0,11,9,9,1673a471-7693-45a5-a7b7-5301ddc63816:2; 20483e65-7baf-4f33-a634-23a23cac85df:1; 389155db-dfaf-4ae1-a267-56bc2920d61d:1; 84dae2a7-f82a-496d-8b23-676ef7b13fde:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:11; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1; f6099e1e-be1f-4465-b726-369acad0fca7:1
11,0.6783333333333333,0.73,0.5833333333333334,0.001061666666666666,0.6323431730270386,2,0.1,2,0.1,0,14,6,6,6abc8fba-94d2-4e75-a352-b35982b7c176:1; 78928352-38c1-4542-81f4-780f9ce27e66:2; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:14; d9d13a4e-83ee-441b-a580-6e8255915222:1; fe1b5260-4c23-45fd-a15d-fe031077593b:1
12,0.6836666666666666,0.73,0.6533333333333333,0.000627666666666667,0.616489052772522,2,0.1,2,0.1,0,10,10,7,0247194c-41aa-4e18-a486-8858522b02ee:3; 6abc8fba-94d2-4e75-a352-b35982b7c176:1; 78928352-38c1-4542-81f4-780f9ce27e66:3; bf1370dd-2e9d-4961-86d5-b5fbf35c7a95:1; crossover:10; d9d13a4e-83ee-441b-a580-6e8255915222:1; fe1b5260-4c23-45fd-a15d-fe031077593b:1
13,0.689,0.73,0.66,0.00046011111111111095,0.5764046311378479,2,0.1,2,0.1,0,11,9,8,0247194c-41aa-4e18-a486-8858522b02ee:1; 78928352-38c1-4542-81f4-780f9ce27e66:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; bf1370dd-2e9d-4961-86d5-b5fbf35c7a95:2; c5638448-4c8e-4fe5-998d-aea4c0136b4d:2; crossover:11; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1
14,0.6835,0.73,0.64,0.0006516388888888892,0.6066200137138367,2,0.1,2,0.1,0,13,7,6,0247194c-41aa-4e18-a486-8858522b02ee:1; 78928352-38c1-4542-81f4-780f9ce27e66:3; c5638448-4c8e-4fe5-998d-aea4c0136b4d:1; crossover:13; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1
15,0.6843333333333332,0.73,0.64,0.000665666666666667,0.6196203827857971,2,0.1,2,0.1,0,10,10,7,0247194c-41aa-4e18-a486-8858522b02ee:1; 6abc8fba-94d2-4e75-a352-b35982b7c176:2; bdf23b46-c514-47e9-b0eb-44f508075745:1; bf1370dd-2e9d-4961-86d5-b5fbf35c7a95:1; c5638448-4c8e-4fe5-998d-aea4c0136b4d:4; crossover:10; d9d13a4e-83ee-441b-a580-6e8255915222:1
16,0.6794999999999999,0.73,0.61,0.0007369722222222228,0.6107418537139893,2,0.1,2,0.1,0,12,8,7,94048b2a-fd4a-472d-81c2-648a131f6d66:2; 9cd046b9-6c8e-46aa-b916-30192839786e:2; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:12; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1; fc7ab4bf-b71a-4738-8310-72aeaec7db11:1
17,0.6851666666666667,0.73,0.6366666666666666,0.0005594166666666678,0.5979946851730347,2,0.1,2,0.1,0,13,7,7,140ec87b-ad60-449d-b1d3-1a886143c685:1; 3345871e-e960-4c54-bbdd-0af0a68dae70:1; 70f1ae71-fcad-4350-aa5d-344a1c6146a5:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:13; d9d13a4e-83ee-441b-a580-6e8255915222:1; fc7ab4bf-b71a-4738-8310-72aeaec7db11:2
18,0.6943333333333335,0.73,0.6633333333333333,0.0003823333333333336,0.6049142479896545,2,0.1,2,0.1,0,13,7,6,70f1ae71-fcad-4350-aa5d-344a1c6146a5:1; 9cd046b9-6c8e-46aa-b916-30192839786e:2; bdf23b46-c514-47e9-b0eb-44f508075745:2; crossover:13; d9d13a4e-83ee-441b-a580-6e8255915222:1; fc7ab4bf-b71a-4738-8310-72aeaec7db11:1
19,0.6951666666666667,0.73,0.6566666666666667,0.0004238611111111113,0.591310977935791,2,0.1,3,0.15,0,11,9,8,140ec87b-ad60-449d-b1d3-1a886143c685:1; 70f1ae71-fcad-4350-aa5d-344a1c6146a5:2; 94048b2a-fd4a-472d-81c2-648a131f6d66:2; 9cd046b9-6c8e-46aa-b916-30192839786e:1; bdf23b46-c514-47e9-b0eb-44f508075745:1; crossover:11; d9d13a4e-83ee-441b-a580-6e8255915222:1; e809674d-a95b-459b-b8d7-f7363461912b:1
